Employee_ID,First_name,Last_name,Employee_email,Employee_phone,Gender,License_info,DOB,Occ_name
3001,Issac,Mcgee,IssacMcgee7@gmail.com,222-124-1548,M,KCD74HUE7D,1983-03-12,Hotel Manager
3002,Giovanni,Hopkins,giovanni-hop@yahoo.com,526-489-4891,M,UOY86XWN7U,1986-12-22,Wedding Coordinator
3003,Matha,Lewis,Matha-lewis@gmail.com,336-9875-5858,F,QTI72RNR8W,1987-02-05,CEO
3004,Armando,Stanton,armando_stanton@yahoo.com,469-159-5481,M,UMT93BRK7D,1976-09-29,Porter
3005,Roxie,Gonzalez,roxieg2810@google.com,155-857-4154,F,RAV41FPT4V,1991-03-15,Receptionist
3006,Duane,Hendricks,duanehendricks@google.com,125-369-9856,M,BQK11FEA7C,1984-09-02,Sales & Catering Assistant
3007,Beth,Malone,beth-mal@google.com,226-691-8495,F,VCP94IHH2X,1983-12-31,Director of purchasing
3008,Britt,Barron,britt_barron@hotmail.net,216-780-1509,F,YDQ28WGV5D,1975-09-22,Director of Sales
3009,Pamela,Nunez,pam_nun@gmail.com,125-416-1651,F,WUD15CKC0Q,1998-10-28,Assistant Hotel Manager
3010,Dianne,Meadows,diannem@google.com,566-968-4180,F,YTQ97VWS7I,1990-04-17,Meeting Specialist
3011,Quinton,Benjamin,quintonbenjamin@google.com,568-915-7819,M,NUT82HSA7R,1985-06-05,Delivery
3012,Edgar,Mosley,edgar_mosely@google.com,511-969-1561,M,PRW36OFY8O,1985-02-10,Security
3013,Alma,Thompson,alma_t@google.com,501-125-1891,F,WVI01YNQ0M,1981-08-28,Bellhop
3014,Terrence,Mehia,terrence_mehia@gmail.com,413-895-4116,M,JGR21MXY6M,1974-07-27,Sales Manager
3015,Allison,Adam,allison_adam@gmail.com,165-498-1652,F,KEB38NHN8F,1983-01-17,Cook
3016,Peter,Fuller,peterfuller2940@gmail.com,454-898-3215,M,OGY86QIG4I,1996-05-09,Event Manager
3017,Richard,Simmons,richard280281@outlook.com,421-416-9856,M,RCZ78FBH7O,1974-10-31,Hotel Housekeeper
3018,Kaseem,Suarez,suarez18392@aol.com,594-456-8916,M,WOD46CWF1P,1993-05-12,Maintenance technician
3019,Simone,Miller,millersimone@aol.com,115-559-3636,F,THW37KGA1P,1996-05-09,Room Attendant
3020,Wynter,Barrera,wynterbarrera@aol.com,526-895-2568,M,LUW63TSR9A,1996-06-25,Food Manager
3021,Tucker,Casey,tuckercasey@aol.com,326-458-8591,M,IGN37MWO7,1988-01-13,Sales Coordinator
3022,Silas,Hammond,silashammond@gmail.com,213-541-4652,F,CTA65JQK5J,1985-02-12,Concierge
3023,Joel,Nolan,joel_nolan@aol.com,416-7781-1585,M,YZK58DZQ5T,1982-12-11,Cafe Manager
3024,Selma,May,selma-may@hotmail.net,715-456-2315,F,UBW61SVG5L,1993-01-05,Night Auditor
3025,Wanda ,Galloway,wgalloway@gmail.com,296-987-1424,F,KJM88YDE5S,1998-05-15,Valet Attendant
3026,Joel,Cunningham,Joel_Cunninfhm@aol.com,651-984-1465,M,KAY64XAF7Q,1985-06-22,Receptionist
